row,antidepressant,celexa,doctor,emt,lexapro,paxil,prozac,psychiatrist,psychologist,therapist,therapy,zoloft
411,0,0,0,0,0,0,0,0,0,1,0,0
414,0,0,0,0,0,0,0,1,0,0,3,0
415,0,0,0,0,0,0,0,3,0,0,0,0
416,0,0,0,0,0,0,0,0,0,2,0,0
422,0,0,3,0,0,0,0,0,0,1,0,0
423,0,0,0,0,0,0,0,0,0,0,1,0
425,0,0,0,0,0,0,0,0,0,0,1,0
434,0,0,0,0,0,0,0,0,0,1,0,0
435,0,0,3,0,0,0,0,1,0,2,0,0
436,0,0,0,0,0,0,0,0,0,0,1,0
437,1,0,0,0,0,0,0,0,0,3,3,0
442,0,0,1,0,0,0,0,2,0,3,2,0
443,0,0,0,0,0,0,0,0,0,1,0,0
448,0,0,0,0,0,0,0,0,0,1,0,0
457,0,0,0,0,0,0,0,0,0,0,2,0
458,0,0,0,0,0,0,0,0,0,0,3,0
465,1,0,3,0,0,0,0,2,1,1,2,0
469,0,0,0,0,0,0,0,0,0,0,3,0
471,0,0,0,0,0,0,0,0,0,0,1,0
473,0,0,0,0,0,0,0,0,0,0,1,0
476,0,0,1,0,0,0,0,0,0,4,3,0
480,0,0,5,0,1,0,0,4,0,1,2,0
483,0,0,0,0,0,0,0,0,0,1,0,0
487,0,0,0,0,0,0,0,0,0,1,0,0
488,0,0,0,0,0,0,0,0,0,3,0,0
492,0,0,0,0,0,0,1,0,0,0,0,1
500,0,0,0,0,0,0,0,0,0,0,1,0
501,0,0,3,0,0,0,0,0,1,1,0,0
503,0,0,1,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,1,0,0,0,0
506,0,0,0,0,0,0,0,0,0,1,1,0
507,0,0,0,0,0,0,0,1,0,0,0,0
508,0,0,0,0,0,0,0,0,0,2,1,0
512,0,0,0,0,0,0,0,0,0,1,1,0
513,0,0,0,0,0,0,0,0,0,0,2,0
514,0,0,0,0,0,0,0,0,0,2,6,0
515,0,0,2,0,0,0,0,0,0,0,3,0
517,0,0,0,0,0,0,0,1,1,0,0,0
518,0,0,3,0,0,0,0,0,0,0,1,0
519,0,0,0,0,0,0,0,0,0,1,0,0
520,0,0,0,0,0,0,0,0,0,0,1,0
